mark,year,mileage,fuel,price
0,2009,167354,2,13900
0,2006,255000,3,8900
0,2009,180000,2,13900
0,2004,163000,2,7999
0,2005,165192,2,13900
0,2004,154700,2,10900
0,2005,259000,2,12999
0,2004,200398,2,8900
0,2005,270000,3,7750
0,2005,299000,3,10700
0,2007,315000,3,7500
0,2005,224139,2,9999
0,2010,140100,2,16500
0,2007,191000,0,13900
0,2004,260123,3,8999
0,2004,360000,3,5700
0,2008,164600,2,13500
0,2005,197000,2,12400
0,2008,141000,2,14500
0,2006,115000,0,15900
0,2007,213950,3,9500
0,2005,144000,3,10900
0,2006,164000,2,13900
0,2007,275000,2,9999
0,2009,224000,2,15900
0,2006,143000,2,16500
0,2004,143000,2,11600
0,2007,144039,2,15900
0,2007,220000,2,9999
0,2006,223000,0,14999
0,2009,119900,2,16900
0,2008,163800,2,13900
0,2007,95000,2,12900
0,2008,192000,2,17000
0,2006,254100,2,11000
0,2005,234061,2,10000
0,2007,210020,2,12900
0,2007,231740,2,11999
0,2006,218000,3,9900
0,2005,195000,2,14500
0,2006,160000,2,9800
0,2005,220000,2,11999
0,2006,206000,0,12900
0,2005,276138,0,10000
0,2005,187000,2,9400
0,2009,154000,2,11999
0,2007,205000,3,9000
0,2009,229000,2,16900
0,2006,167315,3,10500
0,2006,161838,2,16890
0,2004,270950,2,7500
0,2008,197800,2,16000
0,2008,168000,3,15900
0,2009,208247,2,15750
0,2005,308000,2,9900
0,2007,188121,2,12900
0,2004,156000,2,10900
0,2009,90515,2,16599
0,2008,147800,2,16666
0,2006,53317,2,24500
0,2005,229885,2,7500
0,2010,289000,3,18880
0,2006,190000,0,12500
0,2008,179000,2,14000
0,2008,227000,3,13900
0,2005,135000,2,12999
0,2005,261000,3,7999
0,2007,237500,3,14900
0,2007,130000,2,14500
0,2009,251097,3,11000
0,2009,208817,2,15900
0,2006,324900,3,8999
0,2005,141000,2,13000
0,2009,270400,0,15600
0,2006,294421,3,7900
0,2011,237000,3,12000
0,2006,242000,0,10000
0,2005,265400,3,8800
0,2016,147000,3,47900
0,2010,140200,3,24600
0,2015,18100,2,58500
0,2013,221000,3,28900
0,2012,116000,2,38900
0,2012,157000,2,24500
0,2011,134693,2,31900
0,2015,18100,2,58500
0,2015,232000,3,30500
