mark,year,mileage,fuel,price,result
14,2013,189000,3,49999,0.25
12,2015,113256,2,31900,0.25
22,2016,198763,4,67500,0.5
0,2017,94789,3,64900,0.5
8,2021,5,3,156500,1.0
15,2018,167000,3,79999,0.5
16,2010,125000,3,38900,0.25
14,2022,10,2,118900,0.75
19,2017,48900,2,69900,0.5
0,2015,91000,2,34900,0.25
7,2017,78536,2,52900,0.5
3,2013,163000,3,41500,0.25
3,2016,81438,2,54000,0.5
7,2011,89000,2,36900,0.25
12,2015,64150,2,52000,0.5
0,2018,147096,3,56900,0.5
14,2019,29000,2,58700,0.5
8,2008,231000,3,17900,0.25
0,2016,137000,3,41900,0.25
3,2017,88000,3,59900,0.5
8,2018,125499,3,69900,0.5
3,2021,10,2,128000,0.75
22,2015,141354,3,106000,0.75
2,2012,180000,2,57700,0.5
10,2011,146000,2,22900,0.25
8,2017,105305,2,44900,0.25
3,2011,203221,3,21400,0.25
4,2011,194000,3,22900,0.25
1,1998,199000,2,6400,0.0
15,2013,220000,3,43900,0.25
16,2010,153000,2,30800,0.25
0,2006,300000,3,23900,0.25
5,2007,253000,3,41000,0.25
1,2018,106000,3,179000,1.0
8,2013,180547,3,35850,0.25
19,2006,65000,2,11900,0.25
1,2006,275000,3,29520,0.25
7,2011,124500,4,39800,0.25
20,2007,429000,3,15500,0.25
6,2010,158000,2,33999,0.25
1,2016,83000,2,81000,0.5
18,2021,0,2,53899,0.5
4,2007,205000,3,9700,0.0
1,2011,280000,2,70000,0.5
22,2021,3,4,324350,1.0
19,2017,122830,2,67900,0.5
3,2013,275723,3,28500,0.25
16,2016,78008,2,85900,0.5
16,2016,157800,3,63000,0.5
19,2017,71000,2,41500,0.25
15,2020,23924,2,79999,0.5
5,2015,51142,2,399750,1.0
6,2021,1,2,147100,0.75
0,2018,44000,2,74400,0.5
22,2021,19000,4,219900,1.0
2,2015,79000,2,76500,0.5
8,2019,94000,2,77900,0.5
3,2006,268800,2,5500,0.0
0,2009,185200,3,18000,0.25
8,2015,90000,2,44900,0.25
22,2008,192000,3,18500,0.25
4,2016,99821,2,44500,0.25
2,2004,178000,2,12900,0.25
1,2017,122000,2,135000,0.75
0,2021,5,2,115500,0.75
17,2004,171906,2,12000,0.25
1,2015,156417,3,164900,1.0
2,2003,158000,2,100000,0.5
5,2002,119000,2,11000,0.25
16,2012,168700,2,57500,0.5
0,2006,233000,3,11111,0.25
2,2006,322057,0,27700,0.25
2,2012,138218,2,39999,0.25
12,2012,140000,2,26900,0.25
6,2017,127000,3,32999,0.25
11,2012,220000,3,20900,0.25
19,2013,180000,0,36000,0.25
3,2011,90000,0,37900,0.25
14,2012,226380,3,39950,0.25
17,2017,103500,2,64900,0.5
6,2016,57000,2,71990,0.5
3,2015,61679,2,66900,0.5
6,2021,10190,2,67900,0.5
1,2013,190000,3,63900,0.5
1,2009,243500,3,40000,0.25
16,2021,1,2,161400,1.0
6,2019,77269,2,46900,0.25
1,2012,117000,2,57900,0.5
3,2016,89000,3,47000,0.25
3,2006,337000,3,34071,0.25
15,2012,170000,0,49900,0.25
19,2017,77653,3,99900,0.5
2,2017,98123,4,195040,1.0
8,2014,258000,3,46900,0.25
0,2021,8320,3,139900,0.75
0,2010,151543,2,23500,0.25
3,2010,209000,2,30900,0.25
6,2015,94848,2,34500,0.25
2,2012,96000,2,145555,0.75
20,2012,119329,3,20600,0.25
6,2009,129835,2,20990,0.25
11,2004,222000,0,9900,0.0
20,2015,234000,3,48500,0.25
4,2012,139500,2,30900,0.25
4,2018,72500,2,43900,0.25
13,2013,120000,2,68300,0.5
21,2017,144189,2,65900,0.5
5,2014,302000,2,199000,1.0
5,2018,95000,3,211000,1.0
4,2007,316004,3,19900,0.25
1,2021,1,2,169870,1.0
1,2013,189000,3,169900,1.0
5,2022,0,3,537733,1.0
16,2016,63000,2,76900,0.5
0,2015,255313,3,23000,0.25
1,2017,149800,3,115900,0.75
3,2016,134000,2,97500,0.5
7,2018,60000,3,75900,0.5
2,2014,203751,2,119000,0.75
5,2011,187722,0,25000,0.25
6,2017,73000,2,41900,0.25
0,2021,4,2,99900,0.5
0,2009,199000,3,28400,0.25
12,2018,100000,2,42900,0.25
15,2010,158191,2,43900,0.25
1,2007,220000,3,19500,0.25
1,2010,171000,2,36800,0.25
22,2001,368000,3,4600,0.0
15,2018,66000,3,159000,1.0
4,2013,54503,3,29900,0.25
4,2009,193906,3,23500,0.25
16,2021,1,2,144800,0.75
20,2015,109500,2,43850,0.25
2,2010,296000,3,47847,0.25
7,2018,165000,0,55900,0.5
3,2006,303500,2,23900,0.25
3,2018,165381,3,139900,0.75
4,2016,100600,0,44300,0.25
0,2015,103386,2,47500,0.25
5,2020,18500,3,359900,1.0
15,2019,72496,2,92900,0.5
8,2014,263000,3,35900,0.25
1,2012,214000,3,57900,0.5
3,2014,241233,3,47200,0.25
4,2007,216100,3,16400,0.25
3,2017,128900,2,85900,0.5
2,2017,86000,2,146900,0.75
2,2022,6,2,480100,1.0
1,2008,234000,2,27900,0.25
15,2009,189000,2,27900,0.25
9,2016,103000,2,78900,0.5
4,2017,172999,3,66700,0.5
11,2013,133000,0,28888,0.25
7,2014,112514,2,56900,0.5
22,2016,84000,3,69900,0.5
2,2010,197000,2,19800,0.25
15,2019,33585,2,109001,0.75
17,2010,162000,2,34900,0.25
21,2010,234000,3,21600,0.25
3,2010,347843,3,28000,0.25
4,2005,245000,2,9900,0.0
5,2014,164258,3,53900,0.5
21,2009,156300,2,16500,0.25
4,2011,155000,2,31800,0.25
13,2012,80774,2,55999,0.5
3,2009,253000,3,15000,0.25
19,2016,41950,2,69900,0.5
5,2007,442000,3,23001,0.25
2,2003,294000,3,29900,0.25
5,2004,314189,3,17000,0.25
0,2018,186000,3,68999,0.5
20,2006,116000,2,12500,0.25
9,2010,85685,2,21900,0.25
22,2018,95000,3,87500,0.5
6,2009,85500,2,23900,0.25
4,2007,231000,3,18900,0.25
5,2017,108719,2,414000,1.0
